titulo,url,origem
"Bias-variance trade-off — Carlos Alberto Bonfim","https://medium.com/data-hackers/o-que-é-bias-variance-tradeoff-a5bc19866e4b","Aula 04"
"O tradeoff entre viés e variância — Regis A Ely","https://archive.is/B60xA","Aula 04"
"O tradeoff entre viés e variância — Regis A Ely","https://regisely.com/blog/bias-variance/","Aula 04"
"Modelos Preditivos em People Analytics — Higor Gomes","https://archive.is/uvcg5","Aula 04"
"Modelos Preditivos em People Analytics — Higor Gomes","https://higorgomes93.medium.com/modelos-preditivos-em-people-analytics-48d4762dae73","Aula 04"
"What is Fraud Detection? Tibco","https://archive.is/2vZgA","Aula 04"
"What is Fraud Detection? Tibco","https://www.tibco.com/reference-center/what-is-fraud-detection","Aula 04"
"Data science in credit risk modelling — Vimarsh Karbhari","https://archive.is/Q514M","Aula 04"
"Data science in credit risk modelling — Vimarsh Karbhari","https://medium.com/acing-ai/data-science-in-credit-risk-modeling-8565c209eefc","Aula 04"
"Credit Risk modeling: Importance and Best Practices — Noa Azaria","https://archive.is/dl2Mp","Aula 04"
"Credit Risk modeling: Importance and Best Practices — Noa Azaria","https://www.aporia.com/learn/machine-learning-for-business/credit-risk-modeling-importance-model-types-and-10-best-practices/","Aula 04"
"Lasso & Ridge Regularization — Amit Chauhan","https://archive.is/5nQ2y","Aula 04"
"Lasso & Ridge Regularization — Amit Chauhan","https://pub.towardsai.net/lasso-l1-and-ridge-l2-regularization-techniques-33b7f12ac0b","Aula 04"
"Fighting Churn with Data (Livro) — Carl Gold","https://www.manning.com/books/fighting-churn-with-data","Aula 04"
"Detecção de Anomalias — Hackernoon","https://archive.is/A7Pni","Aula 04"
"Detecção de Anomalias — Hackernoon","https://hackernoon.com/pt/entendendo-a-detecção-de-anomalias-e-como-ela-pode-beneficiar-sua-empresa","Aula 04"
"Credit Risk Modelling in Python — Rahul Sisodia","https://archive.is/1MtT6","Aula 04"
"Credit Risk Modelling in Python — Rahul Sisodia","https://medium.com/mlearning-ai/credit-risk-modelling-in-python-7b21a0b794b1","Aula 04"
"End-to-End Guide to Building a Credit Scorecard — Bruce Yang","https://archive.is/yfs9U","Aula 04"
"End-to-End Guide to Building a Credit Scorecard — Bruce Yang","https://towardsdatascience.com/end-to-end-guide-to-building-a-credit-scorecard-using-machine-learning-6502d8bb765a","Aula 04"
